dataset	accuracy	time_s
ASP-POTASSCO-classification	0.274131	11.116
Amazon_employee_access	0.942173	24.675
BLE_RSSI_dataset_for_Indoor_localization	0.567351	9.161
BNG(breast-w)	0.954788	28.723
BNG(cmc)	0.433273	54.873
BNG(tic-tac-toe)	0.652908	28.476
Bank_Customer_Churn_Dataset	0.796500	4.206
Basketball_c	0.619403	1.263
Cardiovascular-Disease-dataset	0.590286	82.705
Click_prediction_small	0.831539	10.987
Credit_c	0.526634	90.475
Customer_Personality_Analysis	0.850446	1.766
Diabetic_Retinopathy_Debrecen	0.536797	1.271
E-CommereShippingData	0.596818	4.880
Employee	0.656284	1.981
FICO-HELOC-cleaned	0.524557	5.362
Firm-Teacher_Clave-Direction_Classification	0.528241	5.310
Fitness_Club_c	0.694631	1.020
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.465625	1.411
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.540625	1.454
Gender_Gap_in_Spanish_WP	0.588421	2.183
GesturePhaseSegmentationProcessed	0.415696	6.124
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.037
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.478
INNHotelsGroup	0.672364	28.479
Indian_pines	0.442865	44.377
JapaneseVowels	0.247868	5.070
KDDCup09_upselling	0.557505	4.259
MIC	0.845455	3.097
MagicTelescope	0.649054	9.573
Marketing_Campaign	0.850446	1.761
Mobile_Price_Classification	0.320000	1.597
National_Health_and_Nutrition_Health_Survey	0.839912	1.248
PhishingWebsites	0.818634	6.839
PieChart3	0.875000	1.581
Pima_Indians_Diabetes_Database	0.681818	0.903
PizzaCutter3	0.880383	1.752
Pumpkin_Seeds	0.720000	1.661
QSAR_biodegradation	0.663507	1.496
SDSS17	0.594450	164.802
Satellite	0.985294	3.551
Telecom_Churn_Dataset	0.854573	1.897
UJI_Pen_Characters	0.054945	6.476
Water_Quality_and_Potability	0.609756	2.285
Wilt	0.946114	1.517
abalone	0.484450	2.281
ada	0.751807	3.498
ada_agnostic	0.751369	3.637
ada_prior	0.751955	2.292
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.151
allbp	0.956291	2.446
allrep	0.966887	2.455
analcatdata_authorship	0.579882	1.736
artificial-characters	0.191781	4.160
autoUniv-au4-2500	0.480000	4.089
autoUniv-au7-1100	0.286364	1.384
bank	0.883003	41.687
banknote_authentication	0.556364	0.898
baseball	0.906716	1.177
car-evaluation	0.699422	1.504
churn	0.859000	2.631
cmc	0.437288	1.152
company_bankruptcy_prediction	0.967742	8.554
contraceptive_method_choice	0.427119	1.113
credit	0.646425	8.059
default_of_credit_card_clients	0.778833	22.951
delta_ailerons	0.704067	1.957
dis	0.984106	2.391
dna	0.518809	7.436
drug_consumption	0.403183	1.305
dry_bean_dataset	0.519647	6.950
eeg-eye-state	0.552737	7.594
electricity	0.582589	37.617
estimation_of_obesity_levels	0.257683	1.441
eye_movements	0.389854	6.468
eye_movements_bin	0.552562	4.037
first-order-theorem-proving	0.417484	4.914
gas-drift	0.395758	40.173
gina_agnostic	0.615274	79.367
golf_play_dataset_extended	0.789954	1.009
heloc	0.581000	5.411
house_16H	0.664937	6.907
htru	0.908380	8.608
ibm-employee-performance	0.846939	1.558
in_vehicle_coupon_recommendation	0.570004	6.441
internet_firewall	0.574350	72.986
jm1	0.806615	5.953
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.286
kdd_ipums_la_97-small	0.761079	2.905
kr-vs-k	0.196009	32.700
kropt	0.200641	33.198
led24	0.210938	2.170
led7	0.484375	1.726
letter	0.130750	20.772
mammography	0.976755	3.767
maternal_health_risk	0.561576	1.044
mfeat-factors	0.205000	6.188
mfeat-fourier	0.122500	2.827
mfeat-karhunen	0.120000	2.837
mfeat-morphological	0.500000	1.217
mfeat-pixel	0.175000	6.469
mfeat-zernike	0.160000	2.127
mice_protein_expression	0.305556	1.980
microaggregation2	0.558000	12.143
mobile_c36_oversampling	0.607032	36.453
mozilla4	0.749115	3.595
naticusdroid+android+permissions+dataset	0.707005	63.238
national-longitudinal-survey-binary	0.622200	2.552
okcupid_stem	0.720015	16.803
one-hundred-plants-margin	0.087500	7.930
one-hundred-plants-shape	0.190625	8.097
one-hundred-plants-texture	0.103125	7.916
optdigits	0.288256	5.650
ozone-level-8hr	0.936884	3.286
page-blocks	0.897717	2.701
pendigits	0.351978	5.385
phoneme	0.706753	1.700
pol	0.715419	6.222
predict_students_dropout_and_academic_success	0.499435	3.149
qsar	0.663507	1.445
rice_cammeo_and_osmancik	0.855643	1.786
ringnorm	0.678378	3.862
satimage	0.549767	4.347
segment	0.642857	1.525
seismic+bumps	0.934236	1.631
shuttle	0.785948	60.506
spambase	0.710098	4.068
splice	0.518809	3.365
sports_articles_for_objectivity_analysis	0.700000	1.731
statlog	0.700000	1.693
steel_plates_faults	0.367609	1.688
sylvine	0.659512	2.803
taiwanese_bankruptcy_prediction	0.967742	8.853
telco-customer-churn	0.734564	3.594
texture	0.579091	6.105
thyroid	0.925694	3.725
thyroid-ann	0.924503	2.225
thyroid-dis	0.583929	1.978
turiye_student_evaluation	0.387457	4.398
twonorm	0.627703	3.818
vehicle	0.423529	1.265
wall-robot-navigation	0.632784	3.137
water_quality	0.886250	4.004
waveform-5000	0.510000	3.694
waveform_database_generator_version_1	0.514000	2.810
website_phishing	0.690037	1.114
wine-quality-red	0.496875	1.121
wine-quality-white	0.448980	2.306
yeast	0.343434	1.125
