dataset	accuracy	time_s
ASP-POTASSCO-classification	0.231660	6.373
Amazon_employee_access	0.942173	20.715
BLE_RSSI_dataset_for_Indoor_localization	0.469204	3.879
BNG(breast-w)	0.934341	29.600
BNG(cmc)	0.446564	55.637
BNG(tic-tac-toe)	0.652908	28.765
Bank_Customer_Churn_Dataset	0.796500	4.530
Basketball_c	0.619403	1.303
Cardiovascular-Disease-dataset	0.556286	83.145
Click_prediction_small	0.831539	11.312
Credit_c	0.526220	91.019
Customer_Personality_Analysis	0.850446	1.817
Diabetic_Retinopathy_Debrecen	0.554113	1.343
E-CommereShippingData	0.596818	4.874
Employee	0.656284	1.999
FICO-HELOC-cleaned	0.552911	5.563
Firm-Teacher_Clave-Direction_Classification	0.398611	5.281
Fitness_Club_c	0.694631	1.003
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.456250	1.392
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.518750	1.346
Gender_Gap_in_Spanish_WP	0.588421	2.206
GesturePhaseSegmentationProcessed	0.393418	6.197
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.025
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.501
INNHotelsGroup	0.672364	28.763
Indian_pines	0.442865	46.009
JapaneseVowels	0.177622	4.842
KDDCup09_upselling	0.531189	4.250
MIC	0.845455	3.107
MagicTelescope	0.648265	9.656
Marketing_Campaign	0.850446	1.716
Mobile_Price_Classification	0.282500	1.522
National_Health_and_Nutrition_Health_Survey	0.839912	1.262
PhishingWebsites	0.556762	6.837
PieChart3	0.875000	1.690
Pima_Indians_Diabetes_Database	0.649351	0.961
PizzaCutter3	0.880383	1.762
Pumpkin_Seeds	0.566000	1.539
QSAR_biodegradation	0.663507	1.400
SDSS17	0.594450	164.700
Satellite	0.985294	3.961
Telecom_Churn_Dataset	0.854573	1.880
UJI_Pen_Characters	0.069597	5.840
Water_Quality_and_Potability	0.609756	1.577
Wilt	0.946114	1.489
abalone	0.544258	1.824
ada	0.751807	3.389
ada_agnostic	0.751369	3.588
ada_prior	0.751955	2.591
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.191
allbp	0.956291	2.403
allrep	0.966887	2.550
analcatdata_authorship	0.420118	1.791
artificial-characters	0.181018	4.136
autoUniv-au4-2500	0.470000	4.314
autoUniv-au7-1100	0.277273	1.236
bank	0.883003	41.935
banknote_authentication	0.556364	0.876
baseball	0.906716	1.176
car-evaluation	0.699422	1.475
churn	0.859000	2.686
cmc	0.494915	1.099
company_bankruptcy_prediction	0.967742	8.401
contraceptive_method_choice	0.477966	1.163
credit	0.590787	8.151
default_of_credit_card_clients	0.778833	23.016
delta_ailerons	0.603086	2.000
dis	0.984106	2.423
dna	0.645768	7.350
drug_consumption	0.403183	1.291
dry_bean_dataset	0.450606	6.931
eeg-eye-state	0.554406	7.773
electricity	0.575417	37.687
estimation_of_obesity_levels	0.163121	1.494
eye_movements	0.389854	6.433
eye_movements_bin	0.534823	4.023
first-order-theorem-proving	0.417484	4.945
gas-drift	0.319195	41.026
gina_agnostic	0.536023	79.692
golf_play_dataset_extended	0.789954	1.075
heloc	0.554000	5.357
house_16H	0.542254	6.980
htru	0.908380	8.633
ibm-employee-performance	0.846939	1.551
in_vehicle_coupon_recommendation	0.570004	6.453
internet_firewall	0.765087	72.825
jm1	0.806615	5.771
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.351
kdd_ipums_la_97-small	0.698459	2.901
kr-vs-k	0.169102	32.821
kropt	0.169993	32.580
led24	0.206250	2.104
led7	0.215625	1.665
letter	0.087500	21.270
mammography	0.976755	3.597
maternal_health_risk	0.413793	1.037
mfeat-factors	0.100000	6.293
mfeat-fourier	0.117500	2.834
mfeat-karhunen	0.100000	2.643
mfeat-morphological	0.440000	1.214
mfeat-pixel	0.150000	6.518
mfeat-zernike	0.170000	2.185
mice_protein_expression	0.162037	2.035
microaggregation2	0.558000	12.115
mobile_c36_oversampling	0.755023	37.348
mozilla4	0.708910	3.722
naticusdroid+android+permissions+dataset	0.856826	63.978
national-longitudinal-survey-binary	0.622200	2.586
okcupid_stem	0.720015	16.857
one-hundred-plants-margin	0.015625	7.978
one-hundred-plants-shape	0.175000	7.844
one-hundred-plants-texture	0.056250	7.991
optdigits	0.151246	5.716
ozone-level-8hr	0.936884	3.252
page-blocks	0.897717	2.638
pendigits	0.239200	5.417
phoneme	0.706753	1.610
pol	0.641051	6.294
predict_students_dropout_and_academic_success	0.499435	3.021
qsar	0.663507	1.425
rice_cammeo_and_osmancik	0.696850	1.796
ringnorm	0.883784	3.788
satimage	0.516330	4.350
segment	0.402597	1.587
seismic+bumps	0.934236	1.627
shuttle	0.785948	60.441
spambase	0.697068	4.189
splice	0.518809	3.256
sports_articles_for_objectivity_analysis	0.635000	1.680
statlog	0.700000	1.639
steel_plates_faults	0.347044	1.633
sylvine	0.591220	2.723
taiwanese_bankruptcy_prediction	0.967742	8.770
telco-customer-churn	0.734564	3.534
texture	0.371818	6.198
thyroid	0.925694	3.732
thyroid-ann	0.924503	2.220
thyroid-dis	0.583929	1.983
turiye_student_evaluation	0.339347	4.358
twonorm	0.729054	3.832
vehicle	0.323529	1.195
wall-robot-navigation	0.573260	3.220
water_quality	0.886250	4.004
waveform-5000	0.338000	3.678
waveform_database_generator_version_1	0.358000	2.770
website_phishing	0.660517	1.135
wine-quality-red	0.459375	1.135
wine-quality-white	0.448980	2.378
yeast	0.316498	1.121
