dataset	accuracy	time_s
ASP-POTASSCO-classification	0.250965	6.397
Amazon_employee_access	0.942173	20.765
BLE_RSSI_dataset_for_Indoor_localization	0.485729	3.956
BNG(breast-w)	0.940310	29.720
BNG(cmc)	0.446474	55.512
BNG(tic-tac-toe)	0.652908	28.833
Bank_Customer_Churn_Dataset	0.796500	4.482
Basketball_c	0.619403	1.271
Cardiovascular-Disease-dataset	0.559429	83.264
Click_prediction_small	0.831539	11.416
Credit_c	0.526220	90.963
Customer_Personality_Analysis	0.850446	1.836
Diabetic_Retinopathy_Debrecen	0.558442	1.264
E-CommereShippingData	0.596818	4.834
Employee	0.656284	2.027
FICO-HELOC-cleaned	0.554430	5.377
Firm-Teacher_Clave-Direction_Classification	0.398611	5.248
Fitness_Club_c	0.694631	1.016
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.450000	1.371
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.496875	1.325
Gender_Gap_in_Spanish_WP	0.588421	2.214
GesturePhaseSegmentationProcessed	0.350380	6.170
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.007
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.492
INNHotelsGroup	0.672364	28.864
Indian_pines	0.442865	45.236
JapaneseVowels	0.173106	4.903
KDDCup09_upselling	0.539961	4.305
MIC	0.845455	3.044
MagicTelescope	0.648265	9.958
Marketing_Campaign	0.850446	1.730
Mobile_Price_Classification	0.292500	1.612
National_Health_and_Nutrition_Health_Survey	0.839912	1.350
PhishingWebsites	0.545002	6.814
PieChart3	0.875000	1.420
Pima_Indians_Diabetes_Database	0.649351	0.957
PizzaCutter3	0.880383	1.594
Pumpkin_Seeds	0.576000	1.628
QSAR_biodegradation	0.663507	1.405
SDSS17	0.594450	165.175
Satellite	0.985294	3.579
Telecom_Churn_Dataset	0.854573	1.869
UJI_Pen_Characters	0.080586	5.696
Water_Quality_and_Potability	0.609756	1.927
Wilt	0.946114	1.490
abalone	0.541866	1.854
ada	0.751807	3.362
ada_agnostic	0.751369	3.688
ada_prior	0.751955	2.530
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.240
allbp	0.956291	2.513
allrep	0.966887	2.548
analcatdata_authorship	0.473373	1.827
artificial-characters	0.182485	4.113
autoUniv-au4-2500	0.470000	4.179
autoUniv-au7-1100	0.277273	1.411
bank	0.883003	41.584
banknote_authentication	0.556364	0.876
baseball	0.906716	1.245
car-evaluation	0.699422	1.540
churn	0.859000	2.706
cmc	0.464407	1.183
company_bankruptcy_prediction	0.967742	8.435
contraceptive_method_choice	0.467797	1.158
credit	0.578821	8.204
default_of_credit_card_clients	0.778833	22.964
delta_ailerons	0.583450	1.974
dis	0.984106	2.551
dna	0.622257	7.376
drug_consumption	0.403183	1.309
dry_bean_dataset	0.446566	6.993
eeg-eye-state	0.551068	7.566
electricity	0.575417	37.620
estimation_of_obesity_levels	0.151300	1.575
eye_movements	0.389854	6.546
eye_movements_bin	0.517083	4.124
first-order-theorem-proving	0.417484	5.065
gas-drift	0.297987	40.983
gina_agnostic	0.508646	80.250
golf_play_dataset_extended	0.789954	1.096
heloc	0.541000	5.549
house_16H	0.551520	6.881
htru	0.908380	8.707
ibm-employee-performance	0.846939	1.589
in_vehicle_coupon_recommendation	0.570004	6.421
internet_firewall	0.765240	73.229
jm1	0.806615	5.849
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.195
kdd_ipums_la_97-small	0.677264	2.990
kr-vs-k	0.176051	34.871
kropt	0.178546	32.696
led24	0.304688	2.236
led7	0.220312	1.803
letter	0.087250	21.188
mammography	0.976755	3.653
maternal_health_risk	0.413793	1.071
mfeat-factors	0.105000	6.153
mfeat-fourier	0.140000	2.861
mfeat-karhunen	0.100000	2.756
mfeat-morphological	0.485000	1.266
mfeat-pixel	0.170000	6.514
mfeat-zernike	0.140000	2.136
mice_protein_expression	0.152778	2.122
microaggregation2	0.558000	12.144
mobile_c36_oversampling	0.750290	36.420
mozilla4	0.701512	3.615
naticusdroid+android+permissions+dataset	0.654679	64.107
national-longitudinal-survey-binary	0.622200	2.612
okcupid_stem	0.720015	16.797
one-hundred-plants-margin	0.037500	10.032
one-hundred-plants-shape	0.121875	7.847
one-hundred-plants-texture	0.028125	7.982
optdigits	0.290036	5.506
ozone-level-8hr	0.936884	3.229
page-blocks	0.897717	2.545
pendigits	0.228286	5.415
phoneme	0.706753	1.609
pol	0.648984	6.009
predict_students_dropout_and_academic_success	0.499435	3.054
qsar	0.663507	1.391
rice_cammeo_and_osmancik	0.670604	1.756
ringnorm	0.898649	3.871
satimage	0.547434	4.274
segment	0.385281	1.675
seismic+bumps	0.934236	1.646
shuttle	0.785948	60.323
spambase	0.715527	4.076
splice	0.518809	3.312
sports_articles_for_objectivity_analysis	0.635000	1.651
statlog	0.700000	1.182
steel_plates_faults	0.347044	1.690
sylvine	0.589268	2.754
taiwanese_bankruptcy_prediction	0.967742	9.055
telco-customer-churn	0.734564	3.540
texture	0.356364	6.133
thyroid	0.925694	3.802
thyroid-ann	0.924503	2.202
thyroid-dis	0.583929	2.020
turiye_student_evaluation	0.335052	3.775
twonorm	0.752027	3.848
vehicle	0.300000	1.165
wall-robot-navigation	0.579670	3.444
water_quality	0.886250	3.931
waveform-5000	0.338000	3.634
waveform_database_generator_version_1	0.357000	2.800
website_phishing	0.690037	1.168
wine-quality-red	0.440625	1.062
wine-quality-white	0.448980	2.434
yeast	0.313131	1.203
