dataset	accuracy	time_s
ASP-POTASSCO-classification	0.262548	6.631
Amazon_employee_access	0.942173	20.626
BLE_RSSI_dataset_for_Indoor_localization	0.480220	3.972
BNG(breast-w)	0.940183	29.690
BNG(cmc)	0.445660	55.559
BNG(tic-tac-toe)	0.652908	28.862
Bank_Customer_Churn_Dataset	0.796500	4.409
Basketball_c	0.619403	1.306
Cardiovascular-Disease-dataset	0.559857	83.562
Click_prediction_small	0.831539	11.332
Credit_c	0.526220	91.293
Customer_Personality_Analysis	0.850446	1.736
Diabetic_Retinopathy_Debrecen	0.549784	1.214
E-CommereShippingData	0.596818	4.836
Employee	0.656284	1.992
FICO-HELOC-cleaned	0.560506	5.377
Firm-Teacher_Clave-Direction_Classification	0.398611	5.253
Fitness_Club_c	0.694631	1.022
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.453125	1.380
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.481250	1.385
Gender_Gap_in_Spanish_WP	0.588421	2.193
GesturePhaseSegmentationProcessed	0.384304	6.140
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.059
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.473
INNHotelsGroup	0.672364	28.888
Indian_pines	0.442865	46.459
JapaneseVowels	0.178123	4.815
KDDCup09_upselling	0.520468	4.268
MIC	0.845455	3.271
MagicTelescope	0.648265	9.668
Marketing_Campaign	0.850446	1.684
Mobile_Price_Classification	0.287500	1.545
National_Health_and_Nutrition_Health_Survey	0.839912	1.247
PhishingWebsites	0.598372	6.770
PieChart3	0.875000	1.413
Pima_Indians_Diabetes_Database	0.649351	0.954
PizzaCutter3	0.880383	1.588
Pumpkin_Seeds	0.582000	1.815
QSAR_biodegradation	0.663507	1.401
SDSS17	0.594450	164.531
Satellite	0.985294	4.190
Telecom_Churn_Dataset	0.854573	1.819
UJI_Pen_Characters	0.069597	6.337
Water_Quality_and_Potability	0.609756	1.682
Wilt	0.946114	1.456
abalone	0.541866	1.824
ada	0.751807	3.659
ada_agnostic	0.751369	3.570
ada_prior	0.751955	2.731
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.300
allbp	0.956291	2.401
allrep	0.966887	2.545
analcatdata_authorship	0.461538	1.927
artificial-characters	0.190313	4.116
autoUniv-au4-2500	0.470000	4.239
autoUniv-au7-1100	0.277273	1.329
bank	0.883003	42.184
banknote_authentication	0.556364	0.847
baseball	0.906716	1.282
car-evaluation	0.699422	1.572
churn	0.859000	2.620
cmc	0.464407	1.197
company_bankruptcy_prediction	0.967742	8.423
contraceptive_method_choice	0.450847	1.137
credit	0.561472	8.206
default_of_credit_card_clients	0.778833	22.924
delta_ailerons	0.551192	1.978
dis	0.984106	2.461
dna	0.539185	7.426
drug_consumption	0.403183	1.264
dry_bean_dataset	0.448035	6.994
eeg-eye-state	0.551068	7.518
electricity	0.575417	37.639
estimation_of_obesity_levels	0.156028	1.516
eye_movements	0.389854	6.407
eye_movements_bin	0.524967	4.113
first-order-theorem-proving	0.417484	4.970
gas-drift	0.293674	41.370
gina_agnostic	0.508646	80.253
golf_play_dataset_extended	0.789954	1.051
heloc	0.534000	5.340
house_16H	0.543365	7.004
htru	0.908380	8.606
ibm-employee-performance	0.846939	1.462
in_vehicle_coupon_recommendation	0.570004	6.526
internet_firewall	0.765698	72.918
jm1	0.806615	5.796
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.260
kdd_ipums_la_97-small	0.645472	3.009
kr-vs-k	0.179971	32.714
kropt	0.178546	34.679
led24	0.335938	2.145
led7	0.284375	1.642
letter	0.101250	22.732
mammography	0.976755	3.705
maternal_health_risk	0.428571	1.055
mfeat-factors	0.117500	6.350
mfeat-fourier	0.130000	2.978
mfeat-karhunen	0.095000	2.682
mfeat-morphological	0.475000	1.428
mfeat-pixel	0.200000	6.611
mfeat-zernike	0.147500	2.156
mice_protein_expression	0.162037	2.030
microaggregation2	0.558000	12.274
mobile_c36_oversampling	0.752898	36.898
mozilla4	0.680605	3.633
naticusdroid+android+permissions+dataset	0.648372	64.268
national-longitudinal-survey-binary	0.622200	2.517
okcupid_stem	0.720015	16.848
one-hundred-plants-margin	0.025000	8.112
one-hundred-plants-shape	0.150000	7.844
one-hundred-plants-texture	0.028125	10.439
optdigits	0.222420	5.476
ozone-level-8hr	0.936884	3.233
page-blocks	0.897717	2.707
pendigits	0.144156	5.446
phoneme	0.706753	1.594
pol	0.618245	5.757
predict_students_dropout_and_academic_success	0.578531	3.083
qsar	0.663507	1.421
rice_cammeo_and_osmancik	0.700787	1.645
ringnorm	0.908108	3.838
satimage	0.432348	4.303
segment	0.378788	1.532
seismic+bumps	0.934236	1.614
shuttle	0.785948	60.408
spambase	0.700326	4.843
splice	0.518809	3.359
sports_articles_for_objectivity_analysis	0.635000	1.699
statlog	0.700000	1.248
steel_plates_faults	0.347044	1.666
sylvine	0.574634	2.727
taiwanese_bankruptcy_prediction	0.967742	8.516
telco-customer-churn	0.734564	3.488
texture	0.360909	6.135
thyroid	0.925694	4.209
thyroid-ann	0.924503	2.191
thyroid-dis	0.583929	1.996
turiye_student_evaluation	0.315292	3.801
twonorm	0.777703	3.828
vehicle	0.423529	1.190
wall-robot-navigation	0.565934	3.208
water_quality	0.886250	3.956
waveform-5000	0.338000	3.652
waveform_database_generator_version_1	0.355000	2.719
website_phishing	0.686347	1.114
wine-quality-red	0.450000	1.093
wine-quality-white	0.448980	2.387
yeast	0.303030	1.116
