dataset	accuracy	time_s
ASP-POTASSCO-classification	0.235521	7.226
Amazon_employee_access	0.942173	20.640
BLE_RSSI_dataset_for_Indoor_localization	0.476715	3.900
BNG(breast-w)	0.944755	29.570
BNG(cmc)	0.447107	55.380
BNG(tic-tac-toe)	0.652908	28.754
Bank_Customer_Churn_Dataset	0.796500	4.386
Basketball_c	0.619403	1.257
Cardiovascular-Disease-dataset	0.550857	83.353
Click_prediction_small	0.831539	11.288
Credit_c	0.526220	90.419
Customer_Personality_Analysis	0.850446	1.936
Diabetic_Retinopathy_Debrecen	0.536797	1.292
E-CommereShippingData	0.596818	4.893
Employee	0.656284	1.942
FICO-HELOC-cleaned	0.549873	5.546
Firm-Teacher_Clave-Direction_Classification	0.398611	5.313
Fitness_Club_c	0.694631	0.955
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.450000	1.396
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.496875	1.392
Gender_Gap_in_Spanish_WP	0.588421	2.149
GesturePhaseSegmentationProcessed	0.389873	6.193
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.045
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.454
INNHotelsGroup	0.672364	28.970
Indian_pines	0.442865	44.776
JapaneseVowels	0.179127	4.816
KDDCup09_upselling	0.530214	4.220
MIC	0.845455	3.091
MagicTelescope	0.648265	9.688
Marketing_Campaign	0.850446	1.711
Mobile_Price_Classification	0.280000	1.544
National_Health_and_Nutrition_Health_Survey	0.839912	1.282
PhishingWebsites	0.556762	6.887
PieChart3	0.875000	1.468
Pima_Indians_Diabetes_Database	0.649351	0.924
PizzaCutter3	0.880383	1.859
Pumpkin_Seeds	0.570000	1.458
QSAR_biodegradation	0.663507	1.447
SDSS17	0.594450	164.593
Satellite	0.985294	3.622
Telecom_Churn_Dataset	0.854573	1.823
UJI_Pen_Characters	0.065934	5.638
Water_Quality_and_Potability	0.609756	2.037
Wilt	0.946114	1.471
abalone	0.545455	1.819
ada	0.751807	3.391
ada_agnostic	0.751369	3.644
ada_prior	0.751955	2.553
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.260
allbp	0.956291	2.421
allrep	0.966887	2.576
analcatdata_authorship	0.455621	1.828
artificial-characters	0.175147	4.128
autoUniv-au4-2500	0.470000	4.203
autoUniv-au7-1100	0.277273	1.208
bank	0.883003	41.665
banknote_authentication	0.556364	0.855
baseball	0.906716	1.194
car-evaluation	0.699422	1.490
churn	0.859000	2.621
cmc	0.494915	1.115
company_bankruptcy_prediction	0.967742	8.478
contraceptive_method_choice	0.474576	1.104
credit	0.580018	8.068
default_of_credit_card_clients	0.778833	22.981
delta_ailerons	0.571529	1.943
dis	0.984106	2.413
dna	0.645768	7.452
drug_consumption	0.403183	1.254
dry_bean_dataset	0.446199	7.024
eeg-eye-state	0.551068	7.592
electricity	0.575417	37.556
estimation_of_obesity_levels	0.148936	1.438
eye_movements	0.389854	6.601
eye_movements_bin	0.540079	4.056
first-order-theorem-proving	0.417484	4.927
gas-drift	0.308052	40.486
gina_agnostic	0.518732	79.860
golf_play_dataset_extended	0.789954	1.021
heloc	0.553500	5.428
house_16H	0.539659	6.888
htru	0.908380	8.614
ibm-employee-performance	0.846939	1.520
in_vehicle_coupon_recommendation	0.570004	6.451
internet_firewall	0.768750	73.056
jm1	0.806615	5.791
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.331
kdd_ipums_la_97-small	0.734104	2.876
kr-vs-k	0.173022	32.466
kropt	0.172844	32.046
led24	0.251563	2.105
led7	0.223438	1.687
letter	0.090750	20.798
mammography	0.976755	3.643
maternal_health_risk	0.423645	1.056
mfeat-factors	0.100000	6.490
mfeat-fourier	0.165000	2.909
mfeat-karhunen	0.100000	2.796
mfeat-morphological	0.447500	1.282
mfeat-pixel	0.160000	6.532
mfeat-zernike	0.152500	2.251
mice_protein_expression	0.157407	2.029
microaggregation2	0.558000	12.097
mobile_c36_oversampling	0.719474	36.297
mozilla4	0.700225	3.590
naticusdroid+android+permissions+dataset	0.869951	63.162
national-longitudinal-survey-binary	0.622200	2.634
okcupid_stem	0.720015	16.791
one-hundred-plants-margin	0.028125	9.888
one-hundred-plants-shape	0.168750	7.840
one-hundred-plants-texture	0.043750	9.536
optdigits	0.271352	5.562
ozone-level-8hr	0.936884	3.329
page-blocks	0.897717	2.603
pendigits	0.236926	5.412
phoneme	0.706753	1.676
pol	0.642043	6.556
predict_students_dropout_and_academic_success	0.499435	3.108
qsar	0.663507	1.395
rice_cammeo_and_osmancik	0.683727	1.693
ringnorm	0.890541	3.835
satimage	0.510109	4.306
segment	0.389610	1.672
seismic+bumps	0.934236	1.649
shuttle	0.785948	60.316
spambase	0.702497	4.100
splice	0.518809	3.283
sports_articles_for_objectivity_analysis	0.635000	1.685
statlog	0.700000	1.500
steel_plates_faults	0.347044	1.786
sylvine	0.591220	2.795
taiwanese_bankruptcy_prediction	0.967742	8.911
telco-customer-churn	0.734564	3.525
texture	0.333636	6.111
thyroid	0.925694	3.774
thyroid-ann	0.924503	2.236
thyroid-dis	0.583929	2.038
turiye_student_evaluation	0.345361	4.128
twonorm	0.758784	3.884
vehicle	0.276471	1.260
wall-robot-navigation	0.572344	3.109
water_quality	0.886250	3.997
waveform-5000	0.338000	3.653
waveform_database_generator_version_1	0.352000	2.748
website_phishing	0.649446	1.110
wine-quality-red	0.468750	1.125
wine-quality-white	0.448980	2.323
yeast	0.323232	1.105
