dataset	accuracy	time_s
ASP-POTASSCO-classification	0.239382	6.704
Amazon_employee_access	0.942173	20.612
BLE_RSSI_dataset_for_Indoor_localization	0.465198	4.078
BNG(breast-w)	0.942215	29.638
BNG(cmc)	0.446655	55.455
BNG(tic-tac-toe)	0.652908	28.830
Bank_Customer_Churn_Dataset	0.796500	4.546
Basketball_c	0.619403	1.266
Cardiovascular-Disease-dataset	0.557929	83.253
Click_prediction_small	0.831539	11.324
Credit_c	0.526220	90.043
Customer_Personality_Analysis	0.850446	1.843
Diabetic_Retinopathy_Debrecen	0.549784	1.246
E-CommereShippingData	0.596818	4.856
Employee	0.656284	2.024
FICO-HELOC-cleaned	0.542785	5.544
Firm-Teacher_Clave-Direction_Classification	0.398611	5.279
Fitness_Club_c	0.694631	1.028
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.453125	1.398
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.487500	1.409
Gender_Gap_in_Spanish_WP	0.588421	2.227
GesturePhaseSegmentationProcessed	0.395949	6.233
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.097
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.667
INNHotelsGroup	0.672364	28.849
Indian_pines	0.442865	43.975
JapaneseVowels	0.174611	5.160
KDDCup09_upselling	0.529240	4.273
MIC	0.845455	3.054
MagicTelescope	0.648265	9.664
Marketing_Campaign	0.850446	1.767
Mobile_Price_Classification	0.307500	1.570
National_Health_and_Nutrition_Health_Survey	0.839912	1.291
PhishingWebsites	0.556762	6.876
PieChart3	0.875000	1.470
Pima_Indians_Diabetes_Database	0.649351	0.993
PizzaCutter3	0.880383	1.592
Pumpkin_Seeds	0.560000	1.520
QSAR_biodegradation	0.663507	1.446
SDSS17	0.594450	164.618
Satellite	0.985294	3.708
Telecom_Churn_Dataset	0.854573	1.880
UJI_Pen_Characters	0.065934	6.224
Water_Quality_and_Potability	0.609756	1.907
Wilt	0.946114	1.540
abalone	0.527512	2.064
ada	0.751807	3.469
ada_agnostic	0.751369	3.865
ada_prior	0.751955	2.292
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.295
allbp	0.956291	2.449
allrep	0.966887	2.640
analcatdata_authorship	0.378698	1.812
artificial-characters	0.173679	4.174
autoUniv-au4-2500	0.470000	4.167
autoUniv-au7-1100	0.277273	1.339
bank	0.883003	41.537
banknote_authentication	0.556364	0.885
baseball	0.906716	1.229
car-evaluation	0.699422	1.523
churn	0.859000	2.728
cmc	0.491525	1.160
company_bankruptcy_prediction	0.967742	8.529
contraceptive_method_choice	0.474576	1.159
credit	0.570446	8.194
default_of_credit_card_clients	0.778833	22.904
delta_ailerons	0.575035	2.027
dis	0.984106	2.517
dna	0.647335	7.334
drug_consumption	0.403183	1.322
dry_bean_dataset	0.438487	6.958
eeg-eye-state	0.551068	7.636
electricity	0.575417	37.634
estimation_of_obesity_levels	0.141844	1.566
eye_movements	0.389854	6.447
eye_movements_bin	0.529566	4.102
first-order-theorem-proving	0.417484	5.028
gas-drift	0.311646	39.757
gina_agnostic	0.556196	79.240
golf_play_dataset_extended	0.789954	1.091
heloc	0.549000	5.418
house_16H	0.545960	6.919
htru	0.908380	8.654
ibm-employee-performance	0.846939	1.543
in_vehicle_coupon_recommendation	0.570004	6.512
internet_firewall	0.765621	72.860
jm1	0.806615	5.772
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.263
kdd_ipums_la_97-small	0.632948	2.954
kr-vs-k	0.173378	34.557
kropt	0.174982	32.562
led24	0.203125	2.132
led7	0.215625	1.925
letter	0.088250	21.492
mammography	0.976755	3.658
maternal_health_risk	0.438424	0.982
mfeat-factors	0.100000	6.361
mfeat-fourier	0.100000	2.882
mfeat-karhunen	0.100000	2.730
mfeat-morphological	0.440000	1.231
mfeat-pixel	0.102500	6.697
mfeat-zernike	0.107500	2.125
mice_protein_expression	0.162037	2.045
microaggregation2	0.558000	12.206
mobile_c36_oversampling	0.745267	36.273
mozilla4	0.705050	3.674
naticusdroid+android+permissions+dataset	0.811658	63.205
national-longitudinal-survey-binary	0.622200	3.065
okcupid_stem	0.720015	16.777
one-hundred-plants-margin	0.018750	7.911
one-hundred-plants-shape	0.143750	8.010
one-hundred-plants-texture	0.068750	7.999
optdigits	0.118327	5.689
ozone-level-8hr	0.936884	3.292
page-blocks	0.897717	2.743
pendigits	0.228286	5.429
phoneme	0.706753	1.619
pol	0.637581	6.260
predict_students_dropout_and_academic_success	0.499435	3.043
qsar	0.663507	1.437
rice_cammeo_and_osmancik	0.683727	1.665
ringnorm	0.850676	3.819
satimage	0.548212	4.306
segment	0.363636	1.652
seismic+bumps	0.934236	1.682
shuttle	0.785948	60.245
spambase	0.703583	4.141
splice	0.518809	3.281
sports_articles_for_objectivity_analysis	0.635000	1.739
statlog	0.700000	2.015
steel_plates_faults	0.347044	1.617
sylvine	0.590244	2.817
taiwanese_bankruptcy_prediction	0.967742	8.912
telco-customer-churn	0.734564	3.533
texture	0.325455	6.158
thyroid	0.925694	3.778
thyroid-ann	0.924503	2.209
thyroid-dis	0.583929	2.080
turiye_student_evaluation	0.364261	4.556
twonorm	0.725000	3.962
vehicle	0.305882	1.277
wall-robot-navigation	0.568681	3.263
water_quality	0.886250	3.976
waveform-5000	0.337000	3.673
waveform_database_generator_version_1	0.350000	2.842
website_phishing	0.516605	1.146
wine-quality-red	0.456250	1.128
wine-quality-white	0.448980	2.442
yeast	0.326599	1.134
